species,atcc_number,accepted_name,strain_designation,biosafety_level,has_genome,genome_url,type_strain,web_available,isolation_source,category
Pantoea agglomerans,27987,Pantoea agglomerans,CDC 1400-74,BSL 1,True,https://genomes.atcc.org/genomes/00c48b41861f4b46,False,True,Ear,Bacteria
Pantoea agglomerans,29002,Pantoea agglomerans,CDC 6-71,BSL 1,True,https://genomes.atcc.org/genomes/84321bde681d4ef0,False,True,Blood,Bacteria
Pantoea agglomerans,29000,Pantoea agglomerans,CDC 258-71,BSL 1,False,,False,True,,Bacteria
Pantoea agglomerans,29923,Pantoea agglomerans,CDC 3123-70 [E393],BSL 1,False,,False,True,,Bacteria
Pantoea agglomerans,29001,Pantoea agglomerans,CDC 164-75,BSL 1,False,,False,True,Prostate,Bacteria
Pantoea agglomerans,29921,Pantoea agglomerans,CDC 3482-71,BSL 1,False,,False,True,,Bacteria
Pantoea agglomerans,33243,Pantoea agglomerans,"NCPPB 2971 [ICMP 272, PDDCC 272, ZP11; 4834]",BSL 1,True,https://genomes.atcc.org/genomes/d0dd7564b3f24c9d,True,True,,Bacteria
Pantoea agglomerans,31901,Pantoea agglomerans,AST 49-4 [FERM-P 5543],BSL 1,False,,False,True,,Bacteria
Pantoea agglomerans,39049,Pantoea agglomerans,"SC 12,638",BSL 1,True,https://genomes.atcc.org/genomes/a52b2016c15a4d8a,False,True,,Bacteria
Pantoea agglomerans,53769,Pantoea agglomerans,NEB 368,BSL 1,False,,False,False,,Bacteria
Pantoea agglomerans,27995,Pantoea agglomerans,CDC 4854-73,BSL 1,False,,False,True,,Bacteria
Pantoea agglomerans,33261,Pantoea agglomerans,"NCPPB 2519 [EMO1, LMG 2660]",BSL 1,False,,True,True,Stem gall on Wisteria floribunda,Bacteria
Pantoea agglomerans,21998,Pantoea agglomerans,A [FERM-P 2439],BSL 1,False,,False,False,Sesame seeds,Bacteria
Pantoea agglomerans,21434,Pantoea agglomerans,AJ 2985,BSL 1,False,,False,False,,Bacteria
Pantoea agglomerans,21433,Pantoea agglomerans,AJ 2973,BSL 1,False,,False,False,,Bacteria
Pantoea agglomerans,19552,Pantoea agglomerans,2669,BSL 1,False,,False,False,Sewage,Bacteria
Pantoea agglomerans,PTA-2740,Pantoea agglomerans,P102,BSL 1,False,,False,False,,Bacteria
Pantoea agglomerans,PTA-2744,Pantoea agglomerans,P101,BSL 1,False,,False,False,,Bacteria
Pantoea agglomerans,23215,Pantoea agglomerans,1784,BSL 1,False,,False,False,Drinking water,Bacteria
Pantoea agglomerans,23375,Pantoea agglomerans,ICPB EM102 [D. Dye EQ1],BSL 1,False,,False,False,Milletia japonica,Bacteria
Pantoea agglomerans,13329,Pantoea agglomerans,"TG 101 [Dowson 179, Starr TG 1]",BSL 1,True,https://genomes.atcc.org/genomes/1b325a483b674be5,False,True,,Bacteria
Pantoea agglomerans,23372,Pantoea agglomerans,ICPB EC11,BSL 1,False,,False,False,Manihot sp.,Bacteria
Leclercia adecarboxylata,700325,Leclercia adecarboxylata,LBM 84.05.644,BSL 1,True,https://genomes.atcc.org/genomes/dd95e41c13164507,False,True,,Bacteria
Leclercia adecarboxylata,49024,Leclercia adecarboxylata,RR 87-173,BSL 1,False,,False,True,Plant-derived foodstuff,Bacteria
Leclercia adecarboxylata,49023,Leclercia adecarboxylata,RR 87-155,BSL 1,False,,False,True,Plant-derived foodstuff,Bacteria
Leclercia adecarboxylata,27984,Leclercia adecarboxylata,CDC 2674-72,BSL 1,True,https://genomes.atcc.org/genomes/b948cd2cbe1042d2,False,True,Urine,Bacteria
Leclercia adecarboxylata,27983,Leclercia adecarboxylata,CDC 3791-74,BSL 1,False,,False,True,,Bacteria
Leclercia adecarboxylata,49015,Leclercia adecarboxylata,RR 87-129,BSL 1,False,,False,True,Plant-derived foodstuff,Bacteria
Leclercia adecarboxylata,49009,Leclercia adecarboxylata,RR 87-168,BSL 1,False,,False,True,Plant-derived foodstuff,Bacteria
Leclercia adecarboxylata,23216,Leclercia adecarboxylata,1783,BSL 1,True,https://genomes.atcc.org/genomes/3e448c34b5bc4339,True,True,Drinking water,Bacteria
Kluyvera ascorbata,33434,Kluyvera ascorbata,CDC 2221-78,BSL 2,True,https://genomes.atcc.org/genomes/747aaeb4cf1246c0,False,True,,Bacteria
Kluyvera ascorbata,33433,Kluyvera ascorbata,CDC 0648-74,BSL 2,False,,True,True,Sputum,Bacteria
Kluyvera ascorbata,14236,Kluyvera ascorbata,"2366 [6(beta), CDC 2567-61]",BSL 2,True,https://genomes.atcc.org/genomes/00b19fb84e014e48,False,True,Sewage,Bacteria
Plesiomonas shigelloides,51903,Plesiomonas shigelloides,GNI 14,BSL 2,True,https://genomes.atcc.org/genomes/35bee58e543d485d,False,True,,Bacteria
Plesiomonas shigelloides,51572,Plesiomonas shigelloides,CIP 69.35 [2886],BSL 2,True,https://genomes.atcc.org/genomes/ad3fee7ddf5c4486,False,True,Feces,Bacteria
Plesiomonas shigelloides,14029,Plesiomonas shigelloides,"CDC 3085-55 [Bader M51, NCIB 9242, NCTC 10360, RH 798]",BSL 2,True,https://genomes.atcc.org/genomes/7aa4dfcb52ff4106,True,True,,Bacteria
Plesiomonas shigelloides,14030,Plesiomonas shigelloides,"CDC 16408 [Ferguson and Henderson C 27, RH 864]",BSL 2,False,,False,False,,Bacteria
Pluralibacter gergoviae,33028,Pluralibacter gergoviae,CDC 604-77 [CIP 76.01],BSL 2,True,https://genomes.atcc.org/genomes/2906502e7c0445a7,True,True,Urine,Bacteria
Pluralibacter gergoviae,BAA-2770,Pluralibacter gergoviae,bMx:8212060,BSL 2,True,https://genomes.atcc.org/genomes/88afc943de9c40f9,False,True,,Bacteria
Pluralibacter gergoviae,33427,Pluralibacter gergoviae,CDC 0610-77 [IP 20/75],BSL 2,True,https://genomes.atcc.org/genomes/aaa5445927484822,False,True,Urine,Bacteria
Pluralibacter gergoviae,33428,Pluralibacter gergoviae,CDC 2787-76,BSL 2,True,https://genomes.atcc.org/genomes/eccdbed606914600,False,True,Sputum,Bacteria
Pluralibacter gergoviae,33426,Pluralibacter gergoviae,CDC 0569-77 [77 GN143],BSL 2,True,https://genomes.atcc.org/genomes/b4889346b2b64b7d,False,True,Abscess,Bacteria
Chryseobacterium indologenes,29897,Chryseobacterium indologenes,"NCTC 10796 [CDC 3716, GIFU 1347, RH 542]",BSL 2,True,https://genomes.atcc.org/genomes/30330eff90904e07,True,True,Trachea at autopsy,Bacteria
